signer,volume,swaps,transaction_count,volume_category
AcNv4UMVfP7k3znSbEQMTRqgDny4xP1NHabjFyvF3hMu,102.61211115507001,2,undefined,Other
HwYqfgxLQZhYXmAVHr6obxi2YNpnF2hSHupcdEr8x7pf,102.61198062795602,7,undefined,Other
znmHsKdLC7MDxG3Sukn9GwGXwuNeNAf78VQjZxwK1CK,102.61193007065,2,undefined,Other
BSk3dKDUbHUM8fu7u2b2Xg2NP6NgRJvFp9F1YK4omwXi,102.61189520849001,2,undefined,Other
5BrWdFkR2XcvpvNW3ZrMsMHZBzzMrLYdQkkXq6BiRXDV,102.61187742279401,2,undefined,Other
2LHGWuTQpLBhEVAdgtJLJwtPH4Q4fgekzWHvCX8PcBd9,102.61185174894,1,undefined,Other
FsN8jQmvKWpnpMTvmSc7qHwEAf5NhYsLPMsSY9YK5bhq,102.61178944044201,2,undefined,Other
2P1TnjzT7bxC9RfC7VdQtGeb1CmbTeM6EuWATpGAwbLH,102.61169304795,1,undefined,Other
4JNutUK17Ax7PJ43niPvC9ZCbbyEAbyzDQKDskt4Sdg9,102.61083328112,2,undefined,Other
GwXguJ8yfFtP6mwyMaExGPsX7svFtCQ6sQVcGJKCWTNo,102.61060438383,1,undefined,Other
8qeb8628RsQqoi1Zuu11VkX7sgec2CKDNinbghZCefP8,102.61052170942,35,undefined,Other
CUsgvvJketSr5Pp3csJySTydxLioY7sFsXF5Y5MTvA9b,102.61050164631156,27,undefined,Other
Czfb19W2ewAYqQDKXafm66yRfV57Cizox2mD89oG1UsK,102.61044576967002,53,undefined,Other
FDMPREZbH4SNvjFq8ysmwFpYxzUtkwo7ynJQPbWNd5fc,102.61043717748198,3,undefined,Other
BEsYnhLp2EHn8jrubyswv42WKqUaMSGbAU5nQdCCyHtK,102.61040450000921,8,undefined,Other
G8Vz7tr4ukFVhgc5REDnhjpj4QbriB3A8va55uTM8X6B,102.610324756056,1,undefined,Other
5u5MYd4LZWncK33YtqaAyXizeSkfLdnLQovp8QdCQh7n,102.61022388228,1,undefined,Other
5U2P1vqqVK32uXRzkN4GLy8xZWEFeuP37VkxXWR1KN1e,102.610006569917,2,undefined,Other
8WpxpHZ2K7yoHA7tUQPCRfByitD7JrDoqzHhyKhaBd55,102.61,3,undefined,Other
Ay3qR3U6gL9i4arXyts9r6Ue9osHTGVrp5vGfm5v2hjz,102.609987975,4,undefined,Other
D5MgsXfgYMzmtC8a43HZ4HgvuG9U2gkKNBTyiZSfUgW6,102.60995009896,4,undefined,Other
FV5ciBjrXxZ1t4ipAyjPF4tR8EXJamVMD2qWdgFTyavd,102.6098044715525,2,undefined,Other
7BkKFXuupPPxcqhmGF9p8X6rRw9eHvWGpLdyuTiHrhvd,102.609763896844,1,undefined,Other
58We7e7YtQpiCcShxa5oowTiji4gXLWBzpkjcecJj1ZL,102.60967936935,3,undefined,Other
8Ff1LZrddB7Xrfe5c17zC5UHK2q3F3hyXUYE99NYep7p,102.60956510541,1,undefined,Other
6Yotjf58wsWZa99s3EByWvfB8NZm8bGXEk2Tnq5zm11q,102.60949682753001,2,undefined,Other
PzbNnY6HocbZdXGr6mr16ZYGyU3TtnPk8WHj1UMJafM,102.60949288806455,7,undefined,Other
3sqXRwrdLBAiHRp7fui1oX4bhMUAxMEuc18qKf3aUpgo,102.60945288016377,4,undefined,Other
D1mUKD2Xq92rtVvTfwMPUWmE8xa1pikakUcgigkn2eh2,102.60944511593999,2,undefined,Other
DwHv6iLD4zSZhJ4o7PNUU1gNdsreqagrmS5gRcsXq1Ds,102.60933363916,6,undefined,Other
