signer,volume,rank,volume_category
5YiPUWrCs4Hz8qidEMWHFDd8NwRSDTCfWDBSVbmWx3p9,463.16993048717995,3720001,Other
3nCTQqADy2sGDoRzfsi2MWJXtvwWo4LCVsYRZwaDy7Dx,463.16937257285,3720002,Other
FoSyjaZUuLiQbJjFmsavG2r2Ku8etNvMobLr7akoQpGk,463.1680455301896,3720003,Other
GXH4Uu1qybUbvXXSzKpfgs2i24CWBEv2yPFD6C61tbk1,463.16800000000006,3720004,Other
3YRz78FaLWbCPsqoEHZe2btzuNSzSJi95rmep45RgP1o,463.16771509639597,3720005,Other
GDXgt4WeF8Lyw34MAEj895hfL7s2MELDHn1RyT3q2eke,463.16732147603994,3720006,Other
5saKN44Nfdh6NoqUfh4feKeZyiXFDweBQREECPnY4n6a,463.1671787624608,3720007,Other
6npZiZWGmkGVpWA7Wz2d41foweU6QvkABpSWnypEBf4G,463.16672408918,3720008,Other
BYYRG3vtSqcHy9nASSm7vWq3c3qWrTzb6jYK15AhSuL7,463.16660418312364,3720009,Other
Gm6i7XETdTvHR4TiBdhnPndsNSeQcFvcVxbyiWmMeESd,463.16570433611696,3720010,Other
Bs9pU1xoBrsTxYH6fThYZok4HGvENG8271rtvociUz6d,463.16418537872,3720011,Other
HbBSCQPo9gxLUaWJEadxWjsXv7Ci5i1AtQxvXDhrCtxk,463.16393767710605,3720012,Other
Ct5L5izU384MtzwSq8z3CHNsQzCKzjwMoTuQoYoeuGTg,463.1638258096323,3720013,Other
H6W87CX18EuqywAyWKsM18CLfh5niLWyCsrZ6Kom1XpN,463.16378843308115,3720014,Other
FTUwLjaBRndoN4YLTZh7w1bnqbJ4e3jztVzFKpqvotFz,463.163708487318,3720015,Other
A3hbi2STfCicPZzAsxsa7WjtTDbbPNHmhL8jpeqCbKKM,463.1636062187341,3720016,Other
paLejpcKDbnRyNQNLWAUN2QcF5ZwJg8rBFJroUYhuxM,463.16318111110945,3720017,Other
Co1xWox71MueAZrj16QECnaSD5zPpRwLiCa8RzJHuTRc,463.1631593405491,3720018,Other
7BiY6dHxG5AwjB1tiX8sbAc8Jk3wco4mj6PGLo5Jid4r,463.1630029690564,3720019,Other
8eMcfRHA5WdLzrSdpsvgneo3xfM6XbR8GR7XcmnAKXLP,463.1628411761937,3720020,Other
368CvuBFWe1PrkuUKoLusXXioSRw4c7szYMjMgmVGUWP,463.1628041127667,3720021,Other
8CJVczfsTx3nf2XFvCT6X3JajQUeYiqsQhFRNv9Eqbhr,463.16262444274,3720022,Other
3K991n4ZwC2tJNVgfzozBR7Qwv8joMVDgZordH1gSwwB,463.162558640098,3720023,Other
7rXjaeuBC9xRnfEmGAYq8TNKKSmyNCNJUrHh6hg9dpcJ,463.1618337208,3720024,Other
7xYSVa2meuw8YfWCwfE9wR3kwC1a4atanBGWPo2LRcMH,463.1611813231986,3720025,Other
CqoD3GzH2XiBVSUCz7PPAkNcTpHSMAxMnN6eUNFHLeWh,463.16108429919996,3720026,Other
ANwzx1LsiezWqnNnrJa5J3K3FstBqvnS3k24zi4SHe6G,463.1600378463653,3720027,Other
Edw7i6vVU8khfjQJHvA1Nf9QRRp2Ve2ZndAkLMpsbSQa,463.15994195447996,3720028,Other
5SUTcWXb7c3XHTMd3oxGaXHwVkbu6W8H5BqiMrv4wVBg,463.15982659188,3720029,Other
7z2XQXw7P7QdH695oDcEVYFme9vRFxMesAVt1CUdKipo,463.1585326711,3720030,Other
8ruvimYk3q9ctZEq7h26wxNHdUuRYUHnLdk2dCbcodi6,463.1574778125,3720031,Other
6nT8WNAyQNQDaC6XuzMhEWGSfmJZVekzW1mpuz16d66p,463.15620398199997,3720032,Other
73ccDJtnsMRGM1u3JcfdQmh1UrkeVtV1UAoWdYt5vswV,463.1558626236159,3720033,Other
EaLaYGZWC9Jr829XEfWK3GV8iYVH5kqVGr927exWwQgc,463.15495404489195,3720034,Other
D8eKAah1PvSW6A8TMDD1zzT5cw7Z48Uu2FLPfzQhSG19,463.1540463034516,3720035,Other
DbK5gCMPdozdy8d9sdSYMaPjZrdfBiTrJCHKsLmFjNd8,463.152791601757,3720036,Other
EF3KcoV9MFivUqKeDz1vVgWf9GS4U3uPqeVuQjHo8x4D,463.15264443866386,3720037,Other
XZTvoEQ3ekEmzXD1UnggY8Ao9TbCDGowsJrhKNzCMGW,463.1518681129303,3720038,Other
DqCA8p3woNECjwaqrEZJUd6ucREbg9ro3okF4SbroPy9,463.15171427896996,3720039,Other
9XJL2sw3QrYZfBFwjounrXbesWu3Q8wKx6jHe5n3J7Ed,463.15130975334006,3720040,Other
FsQSfRigUGgnRbLybc4mrzUo7XfBVLnuxSHpV1f5SMFy,463.15122097509,3720041,Other
D3K61xqEG19QZiFB8aG28YfqF2jt7y6HjVwuvsFeHLrc,463.15108926168,3720042,Other
5EygaQKa5oprwMHyidfWGVcDAnC7k7v1CTSUmXdyLc1C,463.15057546588,3720043,Other
9YnrMC68sTeKLAs8EzCsrdaKe9F1dLW6ouhXA818vaMo,463.150206718606,3720044,Other
FHj2TA3mdr7Pq6oXSBXEoiBhfTWLa2Ffc2pFhU1EFvKA,463.149512882566,3720045,Other
9pPj3TvyM7SvJ58SD8gMMSQ26f2rZB8LoFSs5ijuepUz,463.14924608112494,3720046,Other
CmWrDoVtvJ6QuZi1ho9qA48DGVmftWchdVcN91ZE9VM3,463.14895036448,3720047,Other
8RUhG2Easm2DgE87zeD2tH5r3SsK6RkKhQQbB7Mn8T4L,463.14871658379,3720048,Other
9cSRLS2qaN8NfFTCD7GyRtmnmeyhdzcoyNvxpg99m6yC,463.14870530304296,3720049,Other
59qmBQiBUBMx4NhthMnieyNdprndKuoXtarS3CNzsdF,463.14861003020997,3720050,Other
B8jtS5CVdnraU6CHqQmG7MaxP43o381kj7Y1Su2bkz33,463.14735170753994,3720051,Other
HcmWGBNTmVnAeuoMDxDSpmcp4J1o3NJnETLmcuXQg8cD,463.14631039319994,3720052,Other
33VhtRagBz8PyCPwAjEDdoNkocWbq2kuugexj6Q7caWG,463.1461996754181,3720053,Other
BH2Dt4mxjDgAJmS7ctmxpE3NJKTW8Wg66oKeoc6UDCK9,463.145833707974,3720054,Other
EJRRFU5NmQFCDM1ovXvVZ5i7wE3UGYpjjy3Bs7jjCD3s,463.14581925702,3720055,Other
Lm4BTCWAf3Ed5FEqKYqmFRts6xn8RiAw48wFi8ncBb5,463.1456947175773,3720056,Other
7PFJn4BYwarsy2Mb8mNoKRnAfVm3YFvsUqMbBavFuuLV,463.14450809274996,3720057,Other
AHjW34RU1j9e9ogurZYUJH1U3ZduF1ZpczSwk9c7NcAK,463.14406688311,3720058,Other
4NAz3oQhKPpnC7NnevHEQFTEKBk3aSe8NZf6BuHoRKhL,463.14405777408996,3720059,Other
F8TLcWJ1x7oqjTM96uusTtvCBwvGTuiTX8nC6vKgeThM,463.14383911692005,3720060,Other
FF5NfXcw5gnnsTDMy9SzunuKQWb2QqDRkASNxise2Jeu,463.14370967592,3720061,Other
6M7dYEY664Mh5BhL1j71kxLxLVr3xVsXFsXh4GDkxnHq,463.14149014082,3720062,Other
xNJCrggdD6EqRDxpDHv8wpSki9sAkJrkQK7yCQkWRR3,463.14081196107594,3720063,Other
DUfg3JCdCyNtf3PXzEJxDN6j39m983SYAbnoN3GEzcVN,463.14052561426496,3720064,Other
5aTZzNu6fcEdUz5b2RikAjPbTL7nNFBSbsb1eVE4SXzg,463.1402625711,3720065,Other
FXhJZDh7PLji9qi9DwV3KndKgjU3maNH8VrKnT1uQhGL,463.13866253096,3720066,Other
xK368w5vbdiAPxBv9k8C1whkYzeVVYURaYUi67s51Hq,463.13837675203996,3720067,Other
5B3cy4BbBTNKiASDxTP7fcBfru2PEePULE3JR18JBW6M,463.1381074910398,3720068,Other
X4Nw5ZKEBPM99AniqkZjz35q6FuDVSxssvKpkCFFs9m,463.13786529561986,3720069,Other
D4V5DepsWs1ZsWYmebQGfpWiZHx8nYfphFSKioRGHXT8,463.13717351407604,3720070,Other
BE5kUss7yzmYWjt6mmLdHJ7PV6tAAtpvFCVo1gzMZwoe,463.136966056576,3720071,Other
9LuQYq4fo1TefFwTyZuUugqd9DaKmmbafPf9Z5a6zpXu,463.1368908138698,3720072,Other
6NoKHZ985wtU5puM56WkE8teVCxRjB4vBJ7FdYiDmHK6,463.136372127,3720073,Other
BhiWVWNg6o4YM5rhccJs7LLntrzdFm8NqH3aWqgiWmAH,463.1358397432764,3720074,Other
2pYgQ6VxNwfT8tRtisHJKGf1DfDa481eqLxNAXLM9WGM,463.1357809361451,3720075,Other
DsRm6t8fwGkC8nChsFqzrjg984RZFxptnMi3nrcWMcuU,463.13569752195804,3720076,Other
5C8VBsDy2KBF24o5zdrWgpbHt3sXCx8mkprX2XkewkXQ,463.1353825796701,3720077,Other
A7JUvtGM2CnVRVvfuf9jpM6PrTUvea94FrM5AN38T7ef,463.13517454608393,3720078,Other
8MbNewDe434RJh8zpd5eQYPjWffWyoeF2txhQcnjfdXn,463.13468596891,3720079,Other
CLWz3YcNKmDc3BABsbAv2UnLKCRbJfjzcAZvHjZKeMBH,463.13447095849006,3720080,Other
AjwQsVyJVymGU74QaAf2R3E43HNkYVh9HsFzuwd213Bu,463.1342128286941,3720081,Other
EpC2aXwpydmevJYyAJMYkWDvMoSq39M9SbELAtBMAr8o,463.133903267165,3720082,Other
3bATDu9S6nabKJNeH44w37kMvsv2qY1z9x1bwQoFtaDX,463.13297577342195,3720083,Other
DUuHE7xLiWHXmeurdTHsYB9JQTpgVQGhDgMppFSaHQ9e,463.13289474438096,3720084,Other
ok9L7adGEAgsarAZ9CiTAZyEx9xAGV4hxhMu9iyvuQc,463.13285672448006,3720085,Other
3en3cDrR4yyWsN55DJ48MxLDuqvqNkfV5bzCfW4xND4w,463.1326300995754,3720086,Other
8a8DmYHoYxPNUcETgRLJhcKJohJGvwHiYp6pTQqj1Boh,463.132109466607,3720087,Other
D2DxGhGXTT7DBA2oNGgf2WLrCkz3zQMwFvGNqXEqp8J7,463.13138701050605,3720088,Other
EJfE8FvdF98HW4zC9o5usZQtyEMoGPWorHyAreqUw7dU,463.13087186416,3720089,Other
2QskMBAr3vGTf17RirsEFw4teXDBUP3LgtSXmqrQbTCY,463.13073279699,3720090,Other
3BC5DXxtghrRD8gCf1wJdtSUxsEhG56Gdcw3kj89gWZq,463.13072838564,3720091,Other
9Lka77KPRij2YepnwssS5JgyjFRmR9YHwEznnQTXqS2n,463.12982293814014,3720092,Other
4dvvXZ5guhaCS2x1wAJniRpsNbUpJhVVEce5xaX9dJpf,463.1296400026898,3720093,Other
Cd1DqEmdZJoGusKMG2gdmpDaxrgCQ9A1kWfjEPqo6GiQ,463.129589227522,3720094,Other
91k5ZfLq3wxFtp45urjiZ46ZVB8f1rmQbEPsD5nPUrCF,463.12941870181,3720095,Other
E8V73xpeew3UzyzhFnGrThv3qZ61NBunSkyvjj6vMKEC,463.12905761866926,3720096,Other
HRf7w5RuFsWBEu2Ab1P2Xo7uyoTKoca7kxTZVykdLaGy,463.12779115528474,3720097,Other
GPTE9AYnd2eoNxKQEqwTv7XWdTwZkVcNh3Wfb4evioUB,463.1275645002365,3720098,Other
GsUTu4DnUzP3iR2814JLfmAghTdBqXNRdb3EYrc2wcTv,463.127497680208,3720099,Other
796Y6AmbZjdGX8KBvxEH89bBuP7JVeL1Yh88YBFbxxcE,463.127206597668,3720100,Other
FB14tFCR5xLWQRNLzozXqqDbqhr8rUH4ep67GQLpKmJY,463.12694300898,3720101,Other
8dXoKHZgk9a1Qr2pt3AVV2UHHKFaALJ1rzwYMyMV7Pqh,463.1267360519482,3720102,Other
7fy2HE6HFvV5qsXQ5sEd6QREkAzeZs9mvT1YF6Jzb6zA,463.12665782528,3720103,Other
3N1sBvvH8ZaMHRj78DHhHFHL2hJZGoxPRU3qDtCGAii5,463.12657672529997,3720104,Other
3syTLq5oxLWjkCyJsAMFPugRw41rKj8JpeD7xiezWuyn,463.12647579446997,3720105,Other
8kAreoNs955QRwgfXysXNHxujZEU21S2GTzyWFiJrZfS,463.12642013189725,3720106,Other
GATLU2xTDbMedHftTCWor3yuUzV7gcEh5uwv5uCuohFa,463.12589148087204,3720107,Other
BAoJYW6mirg9BjodEp4tBZMRWd537j5UNe3kvxGF19QV,463.1252291067825,3720108,Other
81cEHpMFzq7v73fq39DUYA7kNwijAk3zNTtZbVaUr3NZ,463.12516011604754,3720109,Other
GGtYiUm9LnQQ8annBUDsQYR5n4kaq8fq2xZiJBoVskHq,463.123947032778,3720110,Other
8fWrj6kE9RZWk5uu4rnUL6sSGFaV5JYkzjv6iAxdva2B,463.12285692982704,3720111,Other
5SWiBt2dsqisXiMbQCBxFGvRW9o6vFhC7m1Qce2DSU1S,463.12243131258003,3720112,Other
HxnxVBD2bwUK881rKVLoYnYRBtUqsjQYLa8wfCuntJpw,463.12218204609997,3720113,Other
CAR62WdXwUU6u6BEdCtbuN7frMQ6CPpGFFQf2bCsKqVm,463.12200474009194,3720114,Other
EqMSZpmdfsfDZNGDBzurvVAvHRo2JSz7VAX4NKJMUBsz,463.1219754523779,3720115,Other
DD3uVER8mAuvGm1hjUX7hQw119HhdbByGc1go7TFqgRf,463.121465583372,3720116,Other
5j8P1fng4Ti6jTgRAA7Yf3ToDV45gekpfUxZFZ1QVgaQ,463.12129691030003,3720117,Other
6Tqde8Jnu1u3j2MXUqhppxRJo1abrYMSjrQ4znDTik1m,463.121245851999,3720118,Other
7dMqY3ABjZ8pMduDtEZ62As6kA7S1txfuAmZ7x3M3GW2,463.12108839588694,3720119,Other
FZ3SWsAHXTzYENMXpjotSUTHXBjVXZck5LJHTNnfRy5R,463.12108202548006,3720120,Other
9afDXYC6urP2SAUeYosxTCeTYysL2VT1q9qnTa1AT2qd,463.12008905274456,3720121,Other
63PWSnvAWgEkXywgPDF47mHEkU8G8rR8PPifhcAeNtWQ,463.11966069512005,3720122,Other
471YuAaXph1xpXGijaiS6iF3cAFaeVddS2L2zkMYgZwF,463.118749672148,3720123,Other
J5DNJiRNppk61SYjAPv7foE9sZyAqGJzMhVkHaKM1FyU,463.11840206198,3720124,Other
4RDeMM2PfyaYw83gySfJ4EUUShiJLmiqdLzaofMbmpSx,463.11839489878724,3720125,Other
xCcermagf1Pren5LJPEqRWVki5WKbkUyLdYYtAesWSJ,463.1183833533713,3720126,Other
EYnGjL7bTQVL51ny5EBT6ntfeuBUFWxP6JbnPXYMWCam,463.11798143975005,3720127,Other
4n61UmNmRWDCt19Sd5KpJz3ZtMNrRr4S9BTPS6VYY7X8,463.1174610616,3720128,Other
HpsEgFjiw22RyGSsXnEgCSMj4ADurxUf8ofJ8sXQBSe1,463.11711363776004,3720129,Other
GWLjjdbMzuExVBeqPnWXyXmo6Q674JAr7zz5sNRUC51t,463.11669308419994,3720130,Other
6r9XmWcqN9kVuEhcaeGrvJ2WgHdwfQf675THZK2dGd89,463.1166241426358,3720131,Other
