signer,volume,swaps,volume_category
2H8PWmrdSNWQ6cpifvjsAF4A5iZwobr2TaABMCae82pu,6.00585973158,6,Other
227r2fmTEZon2RkbiBLL4Q3ZXatg9EJuSCFNG7gcgjtr,6.00585899,19,Other
zfuTmDiqJBhAdNiqZAWMCFj2iodRMHaqaaToKwBFiQF,6.005844684,1,Other
23xzXtsbLjEFQ3Z6vcNkwnfivd5HjdoGbW8y3ni2VSu1,6.00583278,4,Other
BjCPniWdF2Lg4E3jb7vBkzdg9iGJb2aPvag8T8Hc6RND,6.005832,2,Other
ECNRWpUzLqX1Tur8NwNrGXeujR8AKdnMkwXaQyFEDGTV,6.005832,1,Other
8Gbu6gsLPHVsd1mWysWfA3H2PUX8sCVsY4PuDe9k1HJo,6.0058105404671895,1,Other
9gXHkYEzMDzVQ2BM8grQWixSUBaqpyBVn7abBZAyiFhd,6.00580775,5,Other
HsxSJRPPfyMkXJhCfME3vX4mruDjQpCqKT6P5SkDfXUp,6.005806919406,1,Other
H4hgh7hSS1pepDttyGd54K9ycJRu8gvvLXp7aFUPoaFy,6.0058051881,6,Other
A6NsrCjrnsxCeNpGTYaYv8Q91sKyVgGcRwKL9Y6A65HU,6.005801999999999,1,Other
8yf19HjVfTRxDNrCXWoj9J8xUwvPK95BCjvPJ5J8DuWH,6.005800000000001,15,Other
4TLwUjaks5RSU3A9RE83gFtHdwFcGh3fQCPqHrMqfMHU,6.005795861519999,1,Other
2FJVCfYnAtu4txgnRqAc4HPAnJgYYm9fHdp98pKCcfPr,6.00579139644,1,Other
A4TnsuFqe68AGNcSrPGcprNyFx4sv4gR7LUugMtTdA9m,6.0057853589259995,1,Other
28icrXQSujV6EyPeu5awYHEjCRXN7ZNdqwc8AgHQUhZn,6.0057845328,2,Other
8Gx3UneeqUaq4L3bkvuEs8scVWc6njFET65NG6xMJcD3,6.00577901463,1,Other
ExXTk4UvVPt9iaH4vw2BUt8io8DXa4do2vLmHaPtGLZ3,6.005772231112,2,Other
CFcb1P2sp9rYkvaErU4tyjK8PLJXNFwubA7TPk3aqN1e,6.0057623196,1,Other
EiZsNFKqZJ3b814KjEVYTvQNM7P9wpjkGn9hNWdZBjSv,6.005759610533001,1,Other
BqLd9bwa7zBkSHvds9MFTvFPm5PXAsze13GQn4XkyJ31,6.005757264220001,1,Other
B1d45rPPgtFhq1XFYYNCBrget2SfgDDutQX83LkNJA8s,6.00575546364,6,Other
BXkXjzSKafcavAKgVhFeEsem84S6dEG9rX1x8j4mEuS8,6.00575425344,4,Other
GPkncYz3bazW1TueoSQoPLNjfpurhqZ3vfqkzUEKmyZa,6.0057488356621995,2,Other
8cyBLCcjHsQtVMuzJ7121i5fVAJ4eyXJ1iFLzM47zsPp,6.00574791842,6,Other
G2bbx86zQyyHLzQEQ9iBRNhrRZ4qMdxtDgENVVYMu8ML,6.005742599736999,2,Other
