signer,rank,volume,volume_category
Gi89DeRZrBmLqdLQ61UiX235a7Ba3GH7RzPYKSyrD9xB,2860001,683.535926636805,Other
3zPLgAtWhHcyQtoBGZMkG5FwSHhBg8Czi1iUbL6SQuys,2860002,683.535735330035,Other
7PEoWsRsNRt7d4AbfRporsGsWfGZjF8AyX8rzH48pnhM,2860003,683.533452433113,Other
7kZfkh9qVSPguyoTsrEgZziv2yjghcDGHdn5pwvWRWFe,2860004,683.5322463060701,Other
22wcfGFi8KLGLA2yPeLG1SrMXTPk6Ja5qRQqYmPYmM8u,2860005,683.531689147138,Other
6yFG7gXPCpbb2NGAoF7mrLeFsGhKWTTEgk3urvPzoMsu,2860006,683.5315104542589,Other
HxMLALprDNpS8YAVoagvaSWSvoDB4KxxW527oyvUuJ9S,2860007,683.5313943467099,Other
A6nH6ko4K7ZrJ2R43eKwtbrcF814qjPowJ9TmRaWwD22,2860008,683.5304640207601,Other
GcMiTB8PBHfGZcZ2nWRWLSbefSoBYuUn5zDN6zKMDM72,2860009,683.529841690337,Other
jmBfYNo6SxEjT2GrBT9yvDvAKVHYkQYnZH5ymPr8ych,2860010,683.52954740528,Other
Ezdr35tvUp3JHHwTuQE3o3uLjmkjALoV1Q7N85ErYrJK,2860011,683.52937877575,Other
H2HhopfKyrZErHwuXB3wLZxredpeedDTXKx965eGqZY7,2860012,683.5292301782699,Other
4DcPwsdisJuPhdNJzqddN7YzV4FicD2NwLkL3BTwSjpy,2860013,683.5290573337652,Other
8KeibkCC3UBrFgrHp2uxPPQMs1VkrGjDK9EgVAHefvFe,2860014,683.52896259593,Other
CUjwsjJne3EyGXkw4z9uMrYrqpc6mGcmq4Z2JRHtX2EU,2860015,683.5283141918779,Other
GfNoL48iUNb34ho3DaBx9XUBHUwGyKXt7JsPWfJLz31t,2860016,683.5278161976601,Other
6d6EH6c3KLTryAtx1i4NyZTEsj1WM3pynWyX5RhJdWD4,2860017,683.5263381214099,Other
DJg5fZGj6ibXffyFFVymZ4zfXeW3KUVRYcS2hBzWACWi,2860018,683.5257070457305,Other
5SF7aGUVK2Mnfp6zQ86uW2rNHQ6Jgbfrumg6ZSg92sJR,2860019,683.5255622507242,Other
4HjjFheCTFcoCNLonCScEFxy2i9fqe8ewRuoiBHp23g8,2860020,683.5249780557284,Other
CyEAX8CzVk8Y2sJDg4oY7JEAr2raaTzqTQmPXkfLPmHj,2860021,683.5246802822999,Other
EYEqTfYbWXaQQee5SpkCntb3SvFRWssubJPp4FSeVY1P,2860022,683.5216703844399,Other
6whJo7Yu6ncwZvuY3BuHVARdtCteWb6VLyysYkj4M9eF,2860023,683.52020947654,Other
HEaC5djo87n5ufykpQhmXGF6x12s4YvffVtg4tjRGDah,2860024,683.519830839472,Other
D2nCoSi3ZAR7VnWrEiDrSoH65nZqyt3pWSxCM3jGXo5G,2860025,683.5195266998431,Other
B8p4WdeKox4kEhFKqSYZWWbSWDfUAsie17cBD2ebqodP,2860026,683.5193234923358,Other
9ncVPQzj682vSCY2kuepcdwMcrWB4pVHDuWYrJ2NpjkQ,2860027,683.5191692932001,Other
46ot8ocStiq9QYovwWcka7VwhHwMhZo2nUcRWesVRdc9,2860028,683.51896155792,Other
HuU4fZHKPKCDPdGPpg4qrDe568AHpBuHu3Vrg3BbT32i,2860029,683.5181952651169,Other
DD34MNX8TeViHSRSP6VJwWSD59F9PKPGgiNoWr83xqhR,2860030,683.5179322622309,Other
5ZXB1vb8DjDwbc5R37XFQYCo27o7FsVEpXMB26kgrYQ4,2860031,683.5169690815801,Other
BgMznRhW9UNGk4PqmMqdNDooCU8NTS8SCGHd8QzWSBTv,2860032,683.5167330009701,Other
44i4onp2aLbf17cfjJGcwdzDs9ZJ2ZZpSupQKGf1ui2E,2860033,683.516241077,Other
H7c7qtgCBi3EUTz85D85UggUPdads1SjR3qG5cP7iE3L,2860034,683.5152969404,Other
8RKQKa1wY6hafFMyZLywq19mGjdx5kPq5guHz57znZMS,2860035,683.5141979785001,Other
CkC4TogyauDkrZfnVQF8LEewrwHHBP9QFwPdEitjhAgJ,2860036,683.51113238683,Other
DwmYgursNvPXQQP9sRn3w43bVB41f7cGu5Ti145o9HxB,2860037,683.51078746293,Other
HBqHXuk2rK8tDVhVRhs6nmTLCom4CAPRatyMmcM26eqD,2860038,683.509366180364,Other
A71pHFpSxQjZr8hAbUTQuuZsBir8cTnJnt8rLSgMmgDx,2860039,683.508,Other
Fkhk9PgPKhpP6KKFYeZXazKUUe5JyGE21TQiX2jGNEXd,2860040,683.50797992905,Other
HmW3mUUxo4yrLR7HxiXgoXzCsvQP9Zv7nZu3E7vnQmAa,2860041,683.50793108175,Other
6hGVqypfHF5XErNjd6Ni2d37Ujpm7DNPxTV6Cktz1Xk3,2860042,683.5072552109331,Other
H4KHRmjqmRcaUCcLmyGHvoi8mVusMhtZ6DDWD72tz9yK,2860043,683.5071064525199,Other
9fLbyckgB6XESa3Q6WwsgkPyxoPEfzsPGEHeLYtV8UDd,2860044,683.50648728341,Other
2ZB5qBhBQycMeVMhAZ4HHn1Ho8kfovVBGLwXkoHC9Rf2,2860045,683.50604152964,Other
ATuD2VcHTMt7CAJxMAS81VZWm61yTtJAAWVEyCrQYgK6,2860046,683.50587719304,Other
H3DABECPtH6cBYpR5ue8TZcW1G1k6kQWXvncU8wQEXQJ,2860047,683.50509058134,Other
AYhorNyc5AZcdU7UwQdAHCsTEc3LvSrh9tsTDicVKc9,2860048,683.505,Other
BtZNEsuC8diUQQa94XGEwHBGrHxuXZKqpHE3r3KdqeuR,2860049,683.5049829872801,Other
FCJYa4gtbiCtHDjkkwcru8d6eTeURLPYggVvo76f5q2H,2860050,683.5044427661401,Other
zY55kmon8qm3ayEJLzK8SLxGtJ48Yu4Qn9BLkfjWaqj,2860051,683.504413103404,Other
2C8A2qL8ztEAJzgmMa64QLr4F2Ef5wqVA8Ynhppt2SjE,2860052,683.5040640956299,Other
9bG9FeVimP5K2ep8PBXonvWCsYqiAyjTpk9a8iYTcNZA,2860053,683.5021348806991,Other
9xKz3z29q1qBHkzJUkVLdSm3neuJmvyLjeJUGZK7yv9K,2860054,683.502119771629,Other
5sGU8eTGvzaMebCXJLVQsu8yoFu7JCT7y9gabLrkX73v,2860055,683.501925956,Other
GNu5Fc4EzBrsw5dMzk8AgtNXa7PuTZ7avq1xmpT8bBw2,2860056,683.5006569862801,Other
Ame9NLmriWxePgSnoxvAas4jkHRahTDsqy9EFWTxDFF2,2860057,683.5006151424001,Other
GRE4KQ8w4dnwVYaCDwLu2QKyqndf695yEmGvgbnJWFcX,2860058,683.5001781574399,Other
AFQ6BUGQbQNqbstrtbeApK3G4tUKSNnooLJxb3JBonzD,2860059,683.5000028695401,Other
Dek5pBfhFxkbqn2bYNwpeAcMUm7UTBgSMGBUP9bHKkjP,2860060,683.4984447262934,Other
H9GHJyxqWurRnEzgUqTiosuq4BSZuyY7C7CZLL1GYDmB,2860061,683.49781264783,Other
BwBSZgsa4jmiMk3KZDmifFbjqtJ1BNPC8jq34tNpPxWW,2860062,683.497087312,Other
d1A1y9hUwM1VvQKwtzoWQcR3WHqAth69jLazXGVMt8c,2860063,683.4961090352751,Other
9N3TFeKYpCWCVHKHYWqM8mKiWrq4sqsrzTYvx6SGEe6q,2860064,683.4959456118,Other
9A2rtWBhMYhL6zkgeGB2uDogXP7jvmXEt419UP19Pr4H,2860065,683.4953591824999,Other
6fYr1xDPzLodE7Z8eT8mRzrMpXsq99LQKbpVxdoD1riW,2860066,683.4952919771599,Other
9c8APA7PT4fbUrmgqv4C9pSfcB8XTNxiXXKzEYsSkxVn,2860067,683.4950296092,Other
