signer,volume,swaps,transaction_count,volume_category
5TPB437QPu8URU5urDdJTnnKujCi5QTJekkzfLjD6CjG,469.4356556564875,63,133,Other
EHva1ceKexd3bhTiextyHB37vJa3kpnNvBLfBMerftFq,469.4316706599001,2,2,Other
6naqrGMxpy9SSwJbbo3A1W95CvHa2MqJnUXuGjASf5qP,469.4133197840417,57,140,Other
218NUEdnA7vM8sXsqQwiiRatkQnxcVGdscaEeLd7Uk5h,469.392612449706,6,75,Other
H9tpYmr7cHqKm5yG9WEJ3FLbiZUgrW868sXeMdn4KV5N,469.38644533044,2,93,Other
H9bKpyUA9k1CGuG83YkzfnbdhApAeDHDhrnNuy5zqWYh,469.3798852113548,11,47,Other
993u4BZTFWMxip7azafDCqY7hk4KgJ1TSSFZzBC8Ljg,469.37615094138005,1,13,Other
6e93z8DUGeMuC9g2bsujmXqXuqxxhHMBsGAYDRxVMw4i,469.3692954679875,17,24,Other
ErufPA6FzTWzrkhLjkemgWCwqLMXq4uuH9seEawciFgm,469.3652807402851,10,67,Other
EpuwqL9PUY2rZQcsniguXpxbUWE5cv6vsYFw7V46LbDS,469.36389999999994,7,21,Other
2SZBKuCtjsJSfDJgim9b6CEPBf6AbLwatvsCDEEgzddP,469.36315104493804,96,195,Other
6z7vyeXWbSGZnV7SXHnjXW2PZgb6J9ddVzRvqS5JEiUP,469.35913520856997,2,7,Other
CmGtxVaQg9W8T6PSBXzcT6shHQy3WJ2NnGKyeqS1tCNZ,469.35311859778005,2,99,Other
C3SiA9hTd3tjckZvfAbmh86pZ4wvbAkDRC1vJQbTa1uN,469.34967486564096,49,93,Other
HqcZHpaJHUmSkuLUHP2S1GyQXyTcSkjqZvgzwMNauTAM,469.3461025410125,16,85,Other
Eujn4Q7UZAEjSuqW9yTicMdXGt2oVkAbXErP6hGyRERk,469.337714711785,7,13,Other
EJVgz9JNuUt8GWYM3FhgoStZEUwy8JURPHHD3KuKMT9w,469.33727650327444,25,42,Other
HN8p4HGbcQu1bS74szqNMQWtAN1EjSo6dkjZpeqBJuQB,469.3265599013399,6,65,Other
kcF2Jyqge6wRuWyMgJEqoYHea3CUQ1bvCTwVEnXdhRy,469.3220221973701,16,26,Other
FyT7jzRAahLjPfj9eFVmChUHsQSZpiuyqxLYkxoC5GjT,469.32179045004006,4,6,Other
CGmb9FSKavrGb6hKATKTwsAL3krezPxChxGtyn47jtXL,469.317,16,64,Other
3koRCp1BwNAkxZRTiyWyDqTun7SJ1bbEiB13DjqUTodH,469.30830000000003,13,47,Other
Vti2mwDKuGuVXEeaC19Cm33mVdpg8T1KGjSfoSL2o4d,469.3004323780245,9,33,Other
Dsn6Ln93A6cgdB6GYxtHoGRoKk9norehcftfKofkjJJD,469.298259076432,3,15,Other
HDnmAUVDeWbvcn4hUPbbxcEX9YfnfT7CTaBmnRF2Rfbh,469.29150648958455,18,42,Other
7Gf4RP6vCwqyutr1VYdQr4ZXEpk6W3Lyr3X4mdZ8U1yE,469.29051271667885,24,41,Other
2Q4KkYiB9wY7w7RpJXtN9AwRFi6Rtp3swqdTHUA2i1S1,469.2889374544469,17,48,Other
4e5kZmoEyDVRBLwySZbpe5dmXtsqGSLTsonGokZfNTLg,469.2870235036124,32,57,Other
7pcFyrDvnL8EniiKV2P7UZY96MqYNmwMiGgoc36sh3in,469.280810141192,4,16,Other
DDA64trpLbBoUTRFmoGY1btKriCL8QZ2tpQgYz2mH8M1,469.27344150000005,5,22,Other
39EiWrp4ub57znuSoYDCUuvvFKd5wx3yQdrJkHBjK2Ly,469.27003537815136,34,275,Other
7WyBHa5uFGScqr6WXCApPV7p6tbtgzqvSQqcSJXe2Mkw,469.26977347284804,29,39,Other
G6hmkFvTSiyid34rFwAVLTfpk776tQBnbpgwtqqJLKmb,469.2413393105002,75,124,Other
F3srLTAguw9EGCojG8NgnRh2wKtR3eK9cLtxDnzkf7ML,469.227491785664,6,179,Other
6oR5zNwV8CFmwYndVQ2fGbLaSD891Kk9gp42uEDHQFKJ,469.2258260852592,24,62,Other
45D8Kyt1Roj1VvAswEpS7TkbJRtTKjUdiinz4rrHF2RN,469.225,1,7,Other
EHBz2wYsambGhZ3JwDEdnRxQcuohJD1ibWpf2KbHC1Gn,469.22249999999997,13,86,Other
5ZMzVKSstd2QZUVTyQNGfeEZBRjYjUVXehh5ZvFVExdn,469.216570647524,3,26,Other
Fobdo8qWpm24RJ3wjpLfbHwntmvGgeyh4kc3H1LTKhdw,469.21135752927074,2,49,Other
DxE1Dpbyuvbj5iSPEq2npmE67Ru8k4fX1jvMmxo8NfCn,469.210964896839,5,13,Other
9QK1HLZ7mJZVV2MQGp95hhB9ndsPhT87jeuAEGTcLPB5,469.21063167697605,8,53,Other
E3knyGQACmzpXixiy75wjswTFCor7rfPFGJnWckCnMLc,469.19422722999997,15,28,Other
FFPzTikU6t84HzXaPRw7e7TZ2HX63Mu6Fby4yrNHedc8,469.19357303284715,52,120,Other
DmhhHQ9PmYkKGNKtBfCRVUEQfHYD9GCVas2iuK3u8oPq,469.19170321446796,3,11,Other
75w3QZ9eVoajPW5hP7e9VPBUeo3cgcSASNxxdXmQMCnd,469.1847375043499,20,30,Other
8QpvcrXx9FQY4rrPG3dy77sqWxrpUyumDiyu8D8dHivk,469.18178181188193,12,30,Other
J5SjbKghxsV3CE3ShVuBZGnU1ReWwvHsc7A58JgEmgCo,469.1746530048918,11,64,Other
3YocBggyXHo2gcLA3gB7wkVPuqpERMqgoQMGVdyKQ4ey,469.1718414917455,27,162,Other
C94eoeXGHoaDPdpt5jJ7FV8B8k4y3qs75xhm2Roeu2qv,469.170231742232,11,135,Other
35ZD5wcZHpXUdaTvTXMq5BmrFxvZtMXZq6qY9oPfvojT,469.162,26,595,Other
2fqEPvw1cKdB7s8r6Np6Tnk1bU2kJKEk5VJHcKoWWc2e,469.154984092177,5,23,Other
7RuC2XXX6JH1ndYEdxMLf97jmtFBLfi7h45NHgXM9TE7,469.1424154171261,4,9,Other
RvHNNGSNUD7Xq8X7diDyHkJ6HWgVNUQtEd7etXPXie3,469.1276,12,31,Other
3K69gERCFwzZWVgrTJrU6k9kXxpqkiHMxTNvEh78CTAc,469.12733569619206,48,94,Other
HYraqNcpeivnohwwoGJSD4ZwR7d9qzieBk4RPo9VmJD9,469.126304322263,11,19,Other
Bcm8wm4Feq6KGHkkvezo6x5aCtR8tUp4JcaXYgU3NLf,469.1245366783921,8,21,Other
HgGHkRAyG6SrLVXMtuvFdzRBC9txY3oQntvuQVSQzGc4,469.12065607167165,2,8,Other
FH2gJwVCfhqk5iUkGAjEet1v5cJQvcyt5sq6Z3mqMiiJ,469.11193984754,10,16,Other
2XaZzmNCmBYUVjpH24xdFcLXXgrKhzYjTQ3wKAGYkEtK,469.11058067916406,6,1041,Other
CBkF2oUrL8tKRRi73sVyd6Kct8LWA7dYMD42atzM78uV,469.10836276915796,1,8,Other
6oBjYE1VKLZ1cgYVhzqPZrp5w9vmkCSLCHcJa1dThZxD,469.10720524150724,8,17,Other
FP6amdNwZsoZXJ3b1tGTcccnXW6g7oq4aqy2krcFm7oH,469.10240000000005,2,4,Other
Hb3NQUb6Q3CDsYSYEFow5dSEenhJ6iJtfYaXGuETmXVc,469.100282702976,1,3,Other
8uUvjg2NHspsNez6Q9WXz4euXjSu9WQHaXNxBkUh5KbD,469.0839726960869,15,28,Other
