signer,volume,volume_category
4sQnRXaQo6rszGRgzBU8QBKpt7hv4mEAYoa4kdsRdGUa,90,Other
54K5MMuSDZR4dC8YsKXjWZ4gToXKcenErgLhuCAiJmED,90,Other
58fP7XyszrRzW5ujKTe9Xc9RLGr4f6YzEE5w4moD2tMc,90,Other
5BcBiVEBiYuyByEGGJVp1hW3Qh61yguU9BS1iGtL466r,90,Other
5BsLKSyoJSvpLBpKt1kKj6XotqQKZQDvqnDPVqNftunq,90,Other
5GCkDyWhH7sbBb2n3nBxETk49hBTmJZ4PPBagrxZPRyA,90,Other
5Gu7BwNi5Kz32VCXuu7ZVzXW8ub5A2KtpD7J9nMD6gUN,90,Other
5HG8PugbXoSPgPJuhScaNq2KoE5CB4KvxqCawW88xDpD,90,Other
5NLEEihoaDaGNBebodyppmWQjKHLaMMeDVYurAyuFUG8,90,Other
5Rrh5t2Bng8oSCpfobKNj2Syv6Ybk616DLB1TMoSBzre,90,Other
5UbHFaEGqsTvqGNdCF1gGC1eFFMuR8ypMMqqRDXXQ4Zs,90,Other
5YdLCXmMVEnLAqCGh2QAT4Ghief3GUJEpL9en7AKCG1R,90,Other
5diK13iZAPfYcq32QgUkU7w6TyAcPac46kqm3NK6AEhC,90,Other
5vRJND1dWw4CjeqvviEVFDHHNwpmvmhGfRrSbFkETegD,90,Other
62pAn4zDd6ChY7M7oUzQa88qbCFhv9sA4Tic5NrSP2dR,90,Other
66GUgq9Hc1ZK4sVZ8WYhJqPXqfvczsc3Dv5U1MPmyMb4,90,Other
6AMtxMmFhMdqcmLRvUZ2q8oQEe8DFDqAFmiiBvSGjvK6,90,Other
6JbXS66oJGE1us1oTyxFwWZ6LVP2oyBBDeAXBuujDVJL,90,Other
6LwwKeQGbW8mjR59aGrMLuSxJWDvLtzMwMWvGnzM35Ff,90,Other
6MvTAVLuP3HppqY2nw5awnrJQ9QAkn8gMf4yJV2Qd1U4,90,Other
6PVJLLyGCXRDtwYNW9e1He1ubqdmikWQDKLkHZaR7on9,90,Other
6QnDpnr1jKKxmnbtE6YSFJFqmsBhHfqjnysE7fPAKUwB,90,Other
6R7rRHBM6pLtwbboprEDxXr6AWffm2sxQrXz8iLEztDb,90,Other
6eUyCk19nb1hDgS9EjUvX6GdMgQJrmv7PSgJkAECRcJV,90,Other
6ha7PhdyLSTGM24mKbixZKgnXpLkELJgM1Rij6pGyD8H,90,Other
77nZsUQTHMqZk7pU7M1b6WWLSh2KaLA9XCT5XyVWBcpH,90,Other
7DEwaxqsc4QQoTPCv7KgPsgdDPsLn165JPzUPp7ebAVX,90,Other
7pa6ox5xCVsKKEUXFnLy14cW82Rok1812mq4TVbFVVMd,90,Other
81f6qicJSBiRmKbEG1YBRnKEUtiJFs2NXd81nDEYo2pF,90,Other
89JLvncdnkf52je3uubo8pkJzoVeGK8pt2LpMsNPDYXZ,90,Other
8LPQM4YbynDMDatY3TgQBW5PQA4YpZD9cyPomN6TLC6M,90,Other
8Qht3pqcHb7hz2Sebi1j2xcLSaeh9gCFirn3Jpqn61aX,90,Other
8SduxTmo9cPteiuNK3Fn9W5ERwnZg2d8jf9YGpgXjLAJ,90,Other
8bBMyHvRN5suHSqNhXmTM1wZAiVCuYTznsZAQgvaeZV3,90,Other
8eKZAfFgzGmgsc9nVoz5py7HNQcbmdJASLzs2SFis2PA,90,Other
8qPftxXWy4EMTjWVdXik63QLqtcwA2ewjNEBbkoiEUMQ,90,Other
8s84Cxmw5JuHfcwZtbmVHaj6LgT15sChbvXC28JFFLbj,90,Other
92zu8p1N333ymAKAqK6hUt5LbYQKUPN8J6sxV2QS8vHv,90,Other
98duYzLAad4GPJVJnNR3bhXiXLVsDMrkc3wBH6d1P8qp,90,Other
9DnCX5Ca6z2Ys2TrEfuHhn874MQxZvMSKvDY5DCBNmYG,90,Other
9QiDWSR75YjZpeTTBYzCoZGinqWY5RyfWMczXdaR8hkb,90,Other
9bF8GUfQHNpcpNzPYdAs8T9SatZgWBhTzPdTjVrcwwYA,90,Other
9cJDGrhfJMUE7Rb9sY89VuD4W7K5ai3buP5jM4Ejq9Dw,90,Other
9gWfnfRFJWURHEYA63qMD7ifn4m4AocRUvmTxGV9mfsv,90,Other
9kPxyK4UJGsfBBQQGpXronUmYxGN9EvkcfGqVnHr1U1d,90,Other
A836wBhmj225LGKdTHy4HXUJtYtvNStoTb48z8ZP1bSK,90,Other
