signer,volume,swaps,volume_category
4f56rYUuvoCiGSfuSouP5Y4x1ZYSTNU16grrwTdRWKEc,376.212,8,Other
FH5jjS79fFJMJZ4ZyySV3M7SeNLPJNX6QtWNiyyzQdvG,376.21120361495,6,Other
E6GxZEKPfcRJq61LNQKXTnjRFYL9nuq8Um52Zx2u139,376.2106748682,5,Other
D7LV9kcypGfysB2WK5zoPEKPqcQVegUKeRbDg6Xs7Pnu,376.20956110655,7,Other
DGiyhKuJz3PX9HTufozRpGfb7udemeBHao1GQp7cY9kX,376.209127602,1,Other
95t9J7sHyo9pyqTSquLn7uEMdDKzYAeD7WNBnk2Eohcz,376.20881199931404,36,Other
D4FtVy5ZUQY8nkBHQsmxGZznL6SkvB8AnhzLASS7Ujcs,376.20811476064,3,Other
2ZwTrnF5VLgfbZJB4iFZUwmvTPUHZAjGFXiZEmLCy7RW,376.207956733986,12,Other
J13neMG7BXhegAkh51L5zZNFb53WqgyJVyDz5U5Zrqqv,376.207838189052,5,Other
E7Gmx4VCzKqgbUKQBZNabTWmEASQzyq9DrKo6AsiHh1W,376.20744442403407,9,Other
EU6uEv78Aqov2oNGdZENtYFjZDWEA8nKUgFa6xKdYbBY,376.20726808109004,3,Other
2pLPjXfRe2VeSBrMdJmWm7tHBH8fe2AiwZdkBMzQU3wW,376.20681757599993,3,Other
88ub1YSCvfiAXnJvzW3Xcr8bWyfKDfo6TjiZuRmzTftM,376.20638589120296,1,Other
27b54CYxWzKSvWXCzGtmxtjP6BmL7m3bm8fWyLGXcNGD,376.20598501352003,6,Other
HEJ8FCjU2VgSSSqbHN6p1h66f29GN3PET1EtJFsomTwN,376.20593321324304,4,Other
Fs7hnNPGnaK5Pa8jKzy9eEp7STAUcQvUWUNZz2V1Zycp,376.20501857836695,3,Other
9GQECJ9HxbJdsuBJbvuV1xEsVwNP6CHvy3o6fnjhLT2t,376.2049671507,3,Other
BADrknWcHg6Ftj7Y6JZgZG4snAdNajVoqwtqdhq4uVWu,376.20450000000005,1,Other
GRZ8o6vmw6VFqRDTwXjDQAErMjYWX4NJue7xLAC6X63c,376.2045,1,Other
4GzHrXVseRTombB1NrrXRYBxCAp52JYKKSPbjTUzRwi8,376.20424941157,3,Other
6P884FNSLRmeHooypd3Jqq2wEU1bRJraX6UU74cJYNjL,376.2040946999999,2,Other
2A9VjdRSUNMsaQRthypwHzm51S91nvej3A64dDkCce6f,376.2037,11,Other
Cx3p77bXN1WAa9toinRnZjzF9mho8UVmGkvJch4ExN1x,376.20366051916,1,Other
3jeh8nkqEvYEYSaRNWeUcLTH5F2VEMi1hgSZGBwXog8T,376.203500308474,10,Other
9Z18FuNgg4kSbfzHSu2fc2yTPzhN4q5wJ8r8uoneoqNc,376.2034721731457,46,Other
3aQmRC9Lg6VV9DwbpivH5x5BAzjCPEWRLMrry4LGDLeB,376.203431538112,1,Other
FK45m5S11fyHuM1QFM2ycAmY4fk6ZvNJWJrinp6U8vFB,376.203050847,3,Other
3NSZD8fQSqncb5PNRQnBe47YNkMxocLUuoEEDth8nS5o,376.202815908,8,Other
9YZa69pXu23Eaxc974L4Ropqk1kQZx5PQe5t9CUU3z5p,376.20271436212687,7,Other
mx2X9uKyjo6uhZfjKTWmevo2hRCB3R5ziSw7GE3DR1Z,376.20221329562094,16,Other
BXDdEb8Hq8gTTGdLkekatn1g2zpU6jdCY4yJLLtHNXKC,376.2019958245007,41,Other
Ew3RYo2VCGTn9hXm4NhPVWFanngnMhUE3x4B7tGzjpyM,376.20167297072385,5,Other
Cx8Cp7h9PtmcnpSqM9Xc85pSBngsyPHJoU3xGunD2NAZ,376.20133030411,12,Other
CSE2dM7NJLEoiA7Gzd2knHyfa9omYdM9EJE3b3o27cYr,376.2009976114061,3,Other
DPAbPwFZA37r81zHJz8tPicG7kQTGrBTfU5RhWEMmCgU,376.2008347525,3,Other
DnprmS5DUuQSboxKvETfcqyL4Uvixu9w4WiYm1MHHmfh,376.20022700984106,81,Other
3brQQh4HP6Z6uYAGAfAda55PZzh425JQJiykbjbRhhqT,376.2001160920547,3,Other
EounssU6SSpJheoWxhbLqQBLtRq1Cvoae2SuHMQEkRFZ,376.2,5,Other
FnQJgHixuPAKr3CecXuq8wT57ox4BRnKhb9bfS8ZLrrX,376.19971133665,3,Other
4G4sw2pVEi2H77FBkcRPgCkr3GRGtkWcZ7PKkHqn9iQw,376.19916263121,9,Other
DrJmJqiGttQdXcusvh2cYmo31qEVBRYwhcbZ7j3SMSbt,376.19908715724,2,Other
6E4hzkPBAymZzRtsa1iZPfksqbqk9QTpm3ryVKQHC9BZ,376.19842959735,3,Other
