signer,volume,volume_category
4q27bVHcpY17PStzuLK26SnxEiu8B535SyLuP4aAda7Z,5484639489806,>$10M
9ZYjFpZkT5AjqYbCTa2BYH6xFJ2xqKsEbVpxCXEX5akj,1821954219045,>$10M
9TbJXN17831dmDiDVKKibVu7zS4xPEXaHPuGsjh7TpjN,1102767020983,>$10M
GkVJUYmgmS6AbdY8KGQ5moTwNuc9cb2cXgojAeeesTGp,1042348224014,>$10M
7bXY351s8WnqSiGNNppmXW5aCe95kgQfchNUJHz7LD3e,956882815722,>$10M
2bMFNFJY42NxHsQ4HSXxE7GkF5dXhuFeYSco8na3mSDT,832500001000,>$10M
DB9oN4qeGX4Qr3hcZ5pV1YGoTdejTZfi9pcHx3SNcfwm,803146153406,>$10M
GwgB1PR8dNkbLLhwNwBXzp1Fr1AoNWkgyaCJfiw3eZMx,777262602965,>$10M
GAFe5NfLPQMMLkrCyaYaaJNuWMsDSfYrukvmFp8Dz6JE,739299996703,>$10M
D2pjJYhNQ4qLQBV9DvraQRB2FTPhXg1d3UHWFVtfvEgk,734480109790,>$10M
AoBvpthK9Av6yHn6FfqxHg8QCnGgKhQVeoWcwJfQGW33,714162794831,>$10M
7Z6zmiXk6YgKP1A4kSGexCUdGnEwpYgt1qt6ACwWAwkF,675099709172,>$10M
CbrL6UzPLrcPDt5eTh3jgbW4FoipB1gGTpMWmKNdiJhs,665379845816,>$10M
EqZbYcMMmSHcC2gAeA2L9vKrfGvKbKPnkz6mco2MeJcd,623029801157,>$10M
3wXFSNRYRkcjzqtPMM3ASnhRG5cRPnVHAe8W2r7YdcyW,611056371892,>$10M
HRy8nkK7VfWQhG9TVTgqFkJczx65jJ3H7Qf645sLAkqQ,570300039680,>$10M
FfXBuot11dRnrbbWkZie2Rh2NK1d3Kz6YgrrdDxd3dM7,569716721171,>$10M
DKT8J6atxwEUo2cscjKHvxJeb18VDE7amKXCpVGtHBNB,567498885002,>$10M
ChEm8Caq4yPHbtJDHubh92PXDHpPJrTJsWMctWxbXoGM,552927319189,>$10M
5CXWyjnQCKDnR83jsfotT3LvVqW1zHV28mkwL342pbPL,551203090965,>$10M
DJKi3pidyTvt4Tkzo4FeoQDFnhtdihE4tDdVPep3guZN,527895497582,>$10M
3m43TABxH6Zp2b96xnfj88mArBeab7xNM6qxwnz4gQqn,526729525929,>$10M
2Unv6SzeB9hFfpP5xRqV98gRDYto4zsDRVAQLNyXC822,519607829000,>$10M
42Q2YRgDv7x8YEvnyFKXbDTXK4VM1gJ9dFaJJAEuE78L,508506988780,>$10M
FyoFnQ2aRB5egcpxsDVCo92eFjEUNKVKDTydgnwWfL95,502739696436,>$10M
4ooeG35jfg4NoYJ5zAzBQNx8U9ZvkU8VFGPWsrX3ZndG,491695453545,>$10M
GwBs4DrrGVqaUGisDqDjpsLQx4eCAb1kY4H18dKk4VqL,491240058661,>$10M
EGNwKbqF5m4vDMYoyn5xzxbfvj66EvdQdFs1fVJe6UVW,473128422923,>$10M
FdeJv7UTdcyeEQiiV5cktk7Tchqx7GrQj8SenXsRCerX,469759836527,>$10M
Fg4oojnEAGzFKYezuG4YHosYakEcZZENRaphXRE3pEjX,465999998684,>$10M
5TgdXhPThcW3bpsRPf5bS49EJoHh4eNB3nGuKtxiJrri,463007120541,>$10M
JE4cmdiFjKdQZZNCCgpuLhtU1e35PpEwGkdY3PoCLn2U,423995154321,>$10M
92LFtEvHmMh2mRhRi4Mqi9z3KHxUgwCS81apzeXtFz1A,423206235765,>$10M
B3jfjk2vDUtqi6uJhYnY3YsHNjR5FKCkow4wMGEAGrRq,406703257786,>$10M
DcS7u7GkZVdjH1kit9VUDu6C7uNnoaWz6FNohmxGbU6A,401377863314,>$10M
HfZQ9ukfmWZWoJdkzu4NsYyEReu3YFuSTD8qnnCkoWmy,384090683846,>$10M
A5JerA9mufR19GszwiSHmMsYDXoVetdFHbEVoNcVqNJC,345236510175,>$10M
EAQnLWf6bbkFSVdX8RHhHnvmRqTfRx7RNPRGDSdpKs3a,345196959771,>$10M
78yBqRQ9VYN3LZyLHj2N37C3LjFX4woN8bxAgwbQ2gq2,343259613375,>$10M
AE5haqUwnbHUzD3q3PSYa6U2hvshJHri6vBuPWf7RvhJ,328953303377,>$10M
HiNMpk1uToHxTCStvMbgKCDf3tfTJGTrQ4E7ZcSty4xE,316568056088,>$10M
7X1FjRdZbo6WpcjtbmjoFbvtkrLSyHRM38wzJRFTZawb,313420703184,>$10M
3S18pZvDZBGcZnMVTwXdx86TjGYXfcq4CgKJXE2ozyaG,309120714443,>$10M
Dhc5668cr2p2gnqD8p8f5QGYuXjHhC4ptzJZY8icTvDV,297454676551,>$10M
Hx9DPKn1H6kKJJW7nDLdSZaebXdgkskQ5JoMu5u2izpX,284891773595,>$10M
HfejRFPdiFc4nFXXYzk2DfwRz332oxQ89xNEfvtA6ZQn,274995943499,>$10M
Eo8berfwTXU2qCJ8GoKxpUQv57SKAq9rT1CjWDqSikMU,274572523632,>$10M
HQdVqHmiYxGStqcUctKg8TSbzi6A1poVVtbLMc8SvKnt,269496799779,>$10M
331vsFPyKvNKXRH4rQSPgchFiBuWdpwHtQzKH3c9g7qU,264875059716,>$10M
9uaJ9uf5FBcDzQ2DZS3J6djSgwyS3xZX8VVTqgPXsB5Z,262740284806,>$10M
2jPudhmNFJSoZTR3ZBtXeToe6Vh5VEimdfn1rZrJJ33v,260158999496,>$10M
6Ez1dgwRB8C4pEkr1Yj7AMu5bPWLfSwBB7bxZHiYp7XS,250097131672,>$10M
5GNW4bLiHC9k85psLvBYvn2C4RU7USfsZgT3vct8Q79T,247562412362,>$10M
9XheZm7XMoft6SSukdnYDCFDYrvDAHaGY6XWqAdGFWwr,241047220270,>$10M
5UJjHM7BfeeYt8tWM6TFDGKwkePzToKnrqV3j2n9uQfS,240837908978,>$10M
9ka4x1G41fqtaVC3ghb1cpe5Dh9i4m3FNCwC3g183sqe,240255874078,>$10M
3wLiACziejwGe5BNArB4CW9PDi5dzgPvdV9gwnA2XmsD,239578396173,>$10M
FvRdq1mVgTYbTVoxwT57JQYt87N6PbPqRpvUyenhUoHv,235435892267,>$10M
E4zqoS4iZo3B8WPPRDEahLemEBzksWFFV8cvPCUMJvC,235055921648,>$10M
BTCCocJy431Swbqg2acRZsVLsuMhLsKLMEcsBV7bPqXN,233144850458,>$10M
G85gzZMkL7VQDh1aU9gAe8UjoUWHvhGYXktgahGMraFF,220536244803,>$10M
2gc5XxT4WU7drqBJB2CgjaZBVBsCCdYgFDkmK9QesAGy,218927461595,>$10M
BUYew1aaPDEWo3yM7UADuA4VDm7r32K3y9zv1RDJTQrV,218205849258,>$10M
8GikxhgjEhRHnzniHZW5jMR5Mc51wqdC4hpgmsYQjJc3,215223041390,>$10M
5WwrdiXQtFSSRNwhM4EjPq47Sq5sUqC2hQTxybundrNn,206278683252,>$10M
BEm4gnEby5VYdnwQkj5uVwuWt3kZXbvCfs9YYEZCZxab,206221915187,>$10M
